timestamp,q_mean,q_min,q_max
06-Jun-2018 00:00:00,10.496866,8.509147,12.340631
06-Jun-2018 00:15:00,9.984999,7.227120,12.389284
06-Jun-2018 00:30:00,9.607344,7.930167,12.038978
06-Jun-2018 00:45:00,9.874618,7.952061,12.138718
06-Jun-2018 01:00:00,10.084351,8.115051,12.634986
06-Jun-2018 01:15:00,10.093070,7.609052,12.296843
06-Jun-2018 01:30:00,10.114701,8.078561,12.221429
06-Jun-2018 01:45:00,10.269839,8.273176,12.462265
06-Jun-2018 02:00:00,10.025231,7.810965,12.377121
06-Jun-2018 02:15:00,9.075031,6.426765,11.192402
06-Jun-2018 02:30:00,8.967406,5.838055,11.698401
06-Jun-2018 02:45:00,8.397719,6.071593,10.360422
06-Jun-2018 03:00:00,8.450866,6.183497,10.331230
06-Jun-2018 03:15:00,8.589891,6.604352,10.399345
06-Jun-2018 03:30:00,8.689160,6.589756,10.642614
06-Jun-2018 03:45:00,9.029156,6.550833,11.017248
06-Jun-2018 04:00:00,9.792728,7.429033,12.620390
06-Jun-2018 04:15:00,10.613202,8.119917,13.393985
06-Jun-2018 04:30:00,11.594814,9.487087,14.177310
06-Jun-2018 04:45:00,14.337459,9.640347,17.962574
06-Jun-2018 05:00:00,17.634242,14.454637,21.297789
06-Jun-2018 05:15:00,21.840304,17.096537,26.496445
06-Jun-2018 05:30:00,26.726572,22.560354,35.305206
06-Jun-2018 05:45:00,30.922442,26.418598,35.266285
06-Jun-2018 06:00:00,36.470284,33.286076,40.540352
06-Jun-2018 06:15:00,40.490123,35.738228,45.369240
06-Jun-2018 06:30:00,42.627402,39.445644,46.977245
06-Jun-2018 06:45:00,43.541810,39.971104,46.536930
06-Jun-2018 07:00:00,40.094585,35.273582,44.123703
06-Jun-2018 07:15:00,40.852019,37.051880,46.607479
06-Jun-2018 07:30:00,36.106783,33.349327,40.496563
06-Jun-2018 07:45:00,34.080269,30.130880,38.195240
